run_tag,dataset,method,epsilon,seed,dcr_q,norm_dcr,mia_auc,alpha,q,status,fallback_used,notes
POP6_SEEDED_20260321,adult_income,privbayes_eps10,10.0,1,6.6471221657907,32.83474753091755,0.4970555555555556,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,madifft,,2,1.5955749956289993,11.02538666532052,0.5102333333333333,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps0.1,0.1,2,6.342444854664187,43.82614864090337,0.5139,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps0.2,0.2,2,6.3116430947319735,43.61330918543725,0.5138666666666667,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps0.5,0.5,2,6.3116430947319735,43.61330918543725,0.5125444444444445,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps1,1.0,2,6.318699106492677,43.66206606505114,0.5148222222222223,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps2,2.0,2,6.356722114420092,43.92480417872597,0.5177999999999999,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps5,5.0,2,6.299084241751611,43.526527799065114,0.5187222222222222,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps10,10.0,2,6.289131179606251,43.45775236766441,0.5093333333333333,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,madifft,,3,2.1174756790742886,12.929630289182946,0.4876444444444445,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps0.1,0.1,3,5.7389497533518075,35.04290476265406,0.4762222222222222,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps0.2,0.2,3,5.741244720314234,35.05691818186038,0.4758,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps0.5,0.5,3,5.741244720314234,35.05691818186038,0.4794777777777778,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps1,1.0,3,5.741244720314234,35.05691818186038,0.48581111111111114,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps2,2.0,3,5.73502031593001,35.018911016888566,0.4838666666666666,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps5,5.0,3,5.7389209232087115,35.04272872139177,0.4812222222222222,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps10,10.0,3,5.73509787288565,35.01938459151929,0.47496666666666665,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,madifft,,4,1.7404694174436965,11.332858345580995,0.5063555555555556,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps0.1,0.1,4,5.804478563381649,37.79516759644167,0.5173777777777778,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps0.2,0.2,4,5.877400152894756,38.26998780069463,0.5295777777777778,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps0.5,0.5,4,5.841824817528766,38.03834326143495,0.513,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps1,1.0,4,5.855999545660199,38.130640307502325,0.5148333333333334,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps2,2.0,4,5.812812023659767,37.849429925853435,0.5257777777777779,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps5,5.0,4,5.816173427899991,37.87131730733506,0.5197333333333333,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps10,10.0,4,5.815174874624794,37.86481534717138,0.5220111111111111,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,pima,madifft,,0,0.5170609310791856,1.068889844516176,0.5261904761904763,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps0.1,0.1,0,0.6211818155203827,1.2841328638426426,0.5277489177489177,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps0.2,0.2,0,0.6176846875133861,1.2769034554944816,0.5280952380952382,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps0.5,0.5,0,0.6444287067209212,1.3321898034164095,0.5047619047619049,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps1,1.0,0,0.7065114402780712,1.4605298102325086,0.5044155844155844,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps2,2.0,0,0.6879282735183447,1.4221139156357843,0.4861471861471862,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps5,5.0,0,0.6414426289589528,1.3260168593727706,0.4974458874458874,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps10,10.0,0,0.6260605746187449,1.2942184374000878,0.514025974025974,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,madifft,,1,0.5776182557469184,1.3373621380724605,0.5365800865800865,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps0.1,0.1,1,0.9557194104201084,2.2127814372210595,0.4922077922077922,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps0.2,0.2,1,0.893149489571832,2.0679130188632104,0.47632034632034637,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps0.5,0.5,1,0.799783232645615,1.851741705466604,0.4616017316017316,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps1,1.0,1,0.7928161300414543,1.8356107415606555,0.47961038961038954,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps2,2.0,1,0.7016290790202419,1.6244849533693568,0.474025974025974,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps5,5.0,1,0.7530783604486385,1.7436057054037586,0.4871861471861472,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps10,10.0,1,0.6992277991053533,1.618925259212992,0.48779220779220783,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,madifft,,2,0.5490396832723179,1.136053256412508,0.5423809523809524,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps0.1,0.1,2,0.6993043507766434,1.4469755267748166,0.49233766233766235,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps0.2,0.2,2,0.674482073903611,1.3956141601335008,0.48346320346320343,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps0.5,0.5,2,0.6377586078878382,1.319627278993472,0.5047186147186147,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps1,1.0,2,0.6737706585892757,1.3941421250345158,0.5170995670995672,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps2,2.0,2,0.6864320747323472,1.4203406740253655,0.5073160173160173,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps5,5.0,2,0.6863846359327401,1.4202425153595788,0.47761904761904767,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps10,10.0,2,0.7341133959620036,1.5190011568708923,0.4825541125541126,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,madifft,,3,0.5021952715380757,1.04026293157444,0.5458441558441558,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps0.1,0.1,3,0.6867186527187111,1.422490412257603,0.4341991341991342,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps0.2,0.2,3,0.682992433887688,1.4147718064790655,0.433073593073593,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps0.5,0.5,3,0.6703764608093378,1.3886386867884835,0.4720779220779221,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps1,1.0,3,0.584966907467919,1.211718677025565,0.485930735930736,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps2,2.0,3,0.6486924653779962,1.3437217830777644,0.4852380952380952,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps5,5.0,3,0.7225731417152108,1.4967605178270345,0.4584848484848485,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps10,10.0,3,0.6892556870037342,1.427745704117998,0.46385281385281385,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,madifft,,4,0.4943995063279672,0.9603303879835415,0.5707792207792208,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps0.1,0.1,4,0.6338891135703721,1.231277480220136,0.4818181818181818,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps0.2,0.2,4,0.6543074080176463,1.2709383382459642,0.5008225108225108,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps0.5,0.5,4,0.6545371961332395,1.2713846827656838,0.49809523809523815,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps1,1.0,4,0.6504465091907662,1.2634388597454267,0.4716017316017316,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps2,2.0,4,0.651673601192078,1.2658223850577062,0.4767965367965368,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps5,5.0,4,0.6358883179000713,1.2351607702417178,0.47549783549783553,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,pima,privbayes_eps10,10.0,4,0.6343668679815426,1.2322054788794548,0.5018614718614719,0.5,0.01,success,,"Samples: real(500), syn(537)"
POP6_SEEDED_20260321,heart,madifft,,0,3.627002784443183,8.739415618091936,0.3838918283362728,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps0.1,0.1,0,1.9436188842255713,4.683231373649768,0.5145992553399961,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps0.2,0.2,0,1.8758790590194843,4.520009418344934,0.46991965510484024,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps0.5,0.5,0,2.1489727493956767,5.178040140877854,0.5328238291201254,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps1,1.0,0,1.9087428863541565,4.599196191266864,0.5279247501469724,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps2,2.0,0,1.839915217173341,4.433353030193023,0.5300803448951598,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps5,5.0,0,1.8850831280083868,4.542187009334558,0.4812855183225554,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps10,10.0,0,1.838878665685315,4.430855415826067,0.5151871448167744,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,madifft,,1,3.1066800105918198,7.485676030201429,0.40662355477170287,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps0.1,0.1,1,1.8910982851639386,4.55668078326161,0.5581030766215952,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps0.2,0.2,1,1.8910982851639386,4.55668078326161,0.5581030766215952,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps0.5,0.5,1,1.8910982851639386,4.55668078326161,0.5945522241818538,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps1,1.0,1,1.9350029457193525,4.662470907771789,0.5343915343915344,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps2,2.0,1,1.9329785325084463,4.657592999072973,0.5369390554575739,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps5,5.0,1,1.885330164960376,4.542782255251027,0.5222418185381148,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps10,10.0,1,1.8606888247037563,4.483407910457829,0.5257691553987851,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,madifft,,2,3.9831526637378802,9.597573717898157,0.44542426023907505,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps0.1,0.1,2,2.0877575423067682,5.030539527094986,0.577111503037429,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps0.2,0.2,2,2.073019442588809,4.99502745652019,0.5326278659611993,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps0.5,0.5,2,1.9736999092294156,4.755712867420435,0.5908289241622575,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps1,1.0,2,2.0021177380869943,4.82418682018811,0.6145404663923183,0.5,0.01,success,,"Samples: real(189), syn(189)"
POP6_SEEDED_20260321,heart,privbayes_eps2,2.0,2,1.9879637244501742,4.790082129569489,0.5461493239271017,0.5,0.01,success,,"Samples: real(189), syn(189)"
